fill	ymin	ymax	xmin	xmax	showSelected1
#FF0000	0	0.01	2.55	4.95	35
#FF0000	0.01	0.02	2.55	4.95	35
#FF0000	0.02	0.03	2.55	4.95	35
#FF0000	0.03	0.04	2.55	4.95	35
#FF0000	0.04	0.05	2.55	4.95	35
#FF0000	0.05	0.06	2.55	4.95	35
#0000FF	0	0.01	5.05	7.45	35
#0000FF	0.01	0.02	5.05	7.45	35
#0000FF	0.02	0.03	5.05	7.45	35
#0000FF	0.03	0.04	5.05	7.45	35
#0000FF	0.04	0.05	5.05	7.45	35
#0000FF	0.05	0.06	5.05	7.45	35
#0000FF	0.06	0.07	5.05	7.45	35
#0000FF	0.07	0.08	5.05	7.45	35
#0000FF	0.08	0.09	5.05	7.45	35
#0000FF	0.09	0.1	5.05	7.45	35
#0000FF	0.1	0.11	5.05	7.45	35
#0000FF	0.11	0.12	5.05	7.45	35
#0000FF	0.12	0.13	5.05	7.45	35
#0000FF	0.13	0.14	5.05	7.45	35
#0000FF	0.14	0.15	5.05	7.45	35
#0000FF	0.15	0.16	5.05	7.45	35
#0000FF	0.16	0.17	5.05	7.45	35
#0000FF	0.17	0.18	5.05	7.45	35
#0000FF	0.18	0.19	5.05	7.45	35
#000000	0	0.01	0.05	2.45	36
#000000	0.01	0.02	0.05	2.45	36
#000000	0.02	0.03	0.05	2.45	36
#000000	0.03	0.04	0.05	2.45	36
#000000	0.04	0.05	0.05	2.45	36
#000000	0.05	0.06	0.05	2.45	36
#000000	0.06	0.07	0.05	2.45	36
#000000	0.07	0.08	0.05	2.45	36
#000000	0.08	0.09	0.05	2.45	36
#000000	0.09	0.1	0.05	2.45	36
#FF0000	0	0.01	2.55	4.95	36
#FF0000	0.01	0.02	2.55	4.95	36
#FF0000	0.02	0.03	2.55	4.95	36
#FF0000	0.03	0.04	2.55	4.95	36
#FF0000	0.04	0.05	2.55	4.95	36
#FF0000	0.05	0.06	2.55	4.95	36
#0000FF	0	0.01	5.05	7.45	36
#0000FF	0.01	0.02	5.05	7.45	36
#0000FF	0.02	0.03	5.05	7.45	36
#0000FF	0.03	0.04	5.05	7.45	36
#0000FF	0.04	0.05	5.05	7.45	36
#0000FF	0.05	0.06	5.05	7.45	36
#0000FF	0.06	0.07	5.05	7.45	36
#0000FF	0.07	0.08	5.05	7.45	36
#0000FF	0.08	0.09	5.05	7.45	36
#0000FF	0.09	0.1	5.05	7.45	36
#0000FF	0.1	0.11	5.05	7.45	36
#0000FF	0.11	0.12	5.05	7.45	36
#0000FF	0.12	0.13	5.05	7.45	36
#0000FF	0.13	0.14	5.05	7.45	36
#0000FF	0.14	0.15	5.05	7.45	36
#0000FF	0.15	0.16	5.05	7.45	36
#0000FF	0.16	0.17	5.05	7.45	36
#0000FF	0.17	0.18	5.05	7.45	36
#0000FF	0.18	0.19	5.05	7.45	36
#0000FF	0.19	0.2	5.05	7.45	36
#000000	0	0.01	0.05	2.45	37
#000000	0.01	0.02	0.05	2.45	37
#000000	0.02	0.03	0.05	2.45	37
#000000	0.03	0.04	0.05	2.45	37
#000000	0.04	0.05	0.05	2.45	37
#000000	0.05	0.06	0.05	2.45	37
#000000	0.06	0.07	0.05	2.45	37
#000000	0.07	0.08	0.05	2.45	37
#000000	0.08	0.09	0.05	2.45	37
#000000	0.09	0.1	0.05	2.45	37
#FF0000	0	0.01	2.55	4.95	37
#FF0000	0.01	0.02	2.55	4.95	37
#FF0000	0.02	0.03	2.55	4.95	37
#FF0000	0.03	0.04	2.55	4.95	37
#FF0000	0.04	0.05	2.55	4.95	37
#FF0000	0.05	0.06	2.55	4.95	37
#0000FF	0	0.01	5.05	7.45	37
#0000FF	0.01	0.02	5.05	7.45	37
#0000FF	0.02	0.03	5.05	7.45	37
#0000FF	0.03	0.04	5.05	7.45	37
#0000FF	0.04	0.05	5.05	7.45	37
#0000FF	0.05	0.06	5.05	7.45	37
#0000FF	0.06	0.07	5.05	7.45	37
#0000FF	0.07	0.08	5.05	7.45	37
#0000FF	0.08	0.09	5.05	7.45	37
#0000FF	0.09	0.1	5.05	7.45	37
#0000FF	0.1	0.11	5.05	7.45	37
#0000FF	0.11	0.12	5.05	7.45	37
#0000FF	0.12	0.13	5.05	7.45	37
#0000FF	0.13	0.14	5.05	7.45	37
#0000FF	0.14	0.15	5.05	7.45	37
#0000FF	0.15	0.16	5.05	7.45	37
#0000FF	0.16	0.17	5.05	7.45	37
#0000FF	0.17	0.18	5.05	7.45	37
#0000FF	0.18	0.19	5.05	7.45	37
#0000FF	0.19	0.2	5.05	7.45	37
#0000FF	0.2	0.21	5.05	7.45	37
#000000	0	0.01	0.05	2.45	38
#000000	0.01	0.02	0.05	2.45	38
#000000	0.02	0.03	0.05	2.45	38
#000000	0.03	0.04	0.05	2.45	38
#000000	0.04	0.05	0.05	2.45	38
#000000	0.05	0.06	0.05	2.45	38
#000000	0.06	0.07	0.05	2.45	38
#000000	0.07	0.08	0.05	2.45	38
#000000	0.08	0.09	0.05	2.45	38
#000000	0.09	0.1	0.05	2.45	38
#000000	0.1	0.11	0.05	2.45	38
#FF0000	0	0.01	2.55	4.95	38
#FF0000	0.01	0.02	2.55	4.95	38
#FF0000	0.02	0.03	2.55	4.95	38
#FF0000	0.03	0.04	2.55	4.95	38
#FF0000	0.04	0.05	2.55	4.95	38
#FF0000	0.05	0.06	2.55	4.95	38
#0000FF	0	0.01	5.05	7.45	38
#0000FF	0.01	0.02	5.05	7.45	38
#0000FF	0.02	0.03	5.05	7.45	38
#0000FF	0.03	0.04	5.05	7.45	38
#0000FF	0.04	0.05	5.05	7.45	38
#0000FF	0.05	0.06	5.05	7.45	38
#0000FF	0.06	0.07	5.05	7.45	38
#0000FF	0.07	0.08	5.05	7.45	38
#0000FF	0.08	0.09	5.05	7.45	38
#0000FF	0.09	0.1	5.05	7.45	38
#0000FF	0.1	0.11	5.05	7.45	38
#0000FF	0.11	0.12	5.05	7.45	38
#0000FF	0.12	0.13	5.05	7.45	38
#0000FF	0.13	0.14	5.05	7.45	38
#0000FF	0.14	0.15	5.05	7.45	38
#0000FF	0.15	0.16	5.05	7.45	38
#0000FF	0.16	0.17	5.05	7.45	38
#0000FF	0.17	0.18	5.05	7.45	38
#0000FF	0.18	0.19	5.05	7.45	38
#0000FF	0.19	0.2	5.05	7.45	38
#0000FF	0.2	0.21	5.05	7.45	38
#000000	0	0.01	0.05	2.45	39
#000000	0.01	0.02	0.05	2.45	39
#000000	0.02	0.03	0.05	2.45	39
#000000	0.03	0.04	0.05	2.45	39
#000000	0.04	0.05	0.05	2.45	39
#000000	0.05	0.06	0.05	2.45	39
#000000	0.06	0.07	0.05	2.45	39
#000000	0.07	0.08	0.05	2.45	39
#000000	0.08	0.09	0.05	2.45	39
#000000	0.09	0.1	0.05	2.45	39
#000000	0.1	0.11	0.05	2.45	39
#000000	0.11	0.12	0.05	2.45	39
#FF0000	0	0.01	2.55	4.95	39
#FF0000	0.01	0.02	2.55	4.95	39
#FF0000	0.02	0.03	2.55	4.95	39
#FF0000	0.03	0.04	2.55	4.95	39
#FF0000	0.04	0.05	2.55	4.95	39
#FF0000	0.05	0.06	2.55	4.95	39
#0000FF	0	0.01	5.05	7.45	39
#0000FF	0.01	0.02	5.05	7.45	39
#0000FF	0.02	0.03	5.05	7.45	39
#0000FF	0.03	0.04	5.05	7.45	39
#0000FF	0.04	0.05	5.05	7.45	39
#0000FF	0.05	0.06	5.05	7.45	39
#0000FF	0.06	0.07	5.05	7.45	39
#0000FF	0.07	0.08	5.05	7.45	39
#0000FF	0.08	0.09	5.05	7.45	39
#0000FF	0.09	0.1	5.05	7.45	39
#0000FF	0.1	0.11	5.05	7.45	39
#0000FF	0.11	0.12	5.05	7.45	39
#0000FF	0.12	0.13	5.05	7.45	39
#0000FF	0.13	0.14	5.05	7.45	39
#0000FF	0.14	0.15	5.05	7.45	39
#0000FF	0.15	0.16	5.05	7.45	39
#0000FF	0.16	0.17	5.05	7.45	39
#0000FF	0.17	0.18	5.05	7.45	39
#0000FF	0.18	0.19	5.05	7.45	39
#0000FF	0.19	0.2	5.05	7.45	39
#0000FF	0.2	0.21	5.05	7.45	39
#000000	0	0.01	0.05	2.45	40
#000000	0.01	0.02	0.05	2.45	40
#000000	0.02	0.03	0.05	2.45	40
#000000	0.03	0.04	0.05	2.45	40
#000000	0.04	0.05	0.05	2.45	40
#000000	0.05	0.06	0.05	2.45	40
#000000	0.06	0.07	0.05	2.45	40
#000000	0.07	0.08	0.05	2.45	40
#000000	0.08	0.09	0.05	2.45	40
#000000	0.09	0.1	0.05	2.45	40
#000000	0.1	0.11	0.05	2.45	40
#000000	0.11	0.12	0.05	2.45	40
#000000	0.12	0.13	0.05	2.45	40
#FF0000	0	0.01	2.55	4.95	40
#FF0000	0.01	0.02	2.55	4.95	40
#FF0000	0.02	0.03	2.55	4.95	40
#FF0000	0.03	0.04	2.55	4.95	40
#FF0000	0.04	0.05	2.55	4.95	40
#FF0000	0.05	0.06	2.55	4.95	40
#0000FF	0	0.01	5.05	7.45	40
#0000FF	0.01	0.02	5.05	7.45	40
#0000FF	0.02	0.03	5.05	7.45	40
#0000FF	0.03	0.04	5.05	7.45	40
#0000FF	0.04	0.05	5.05	7.45	40
#0000FF	0.05	0.06	5.05	7.45	40
#0000FF	0.06	0.07	5.05	7.45	40
#0000FF	0.07	0.08	5.05	7.45	40
#0000FF	0.08	0.09	5.05	7.45	40
#0000FF	0.09	0.1	5.05	7.45	40
#0000FF	0.1	0.11	5.05	7.45	40
#0000FF	0.11	0.12	5.05	7.45	40
#0000FF	0.12	0.13	5.05	7.45	40
#0000FF	0.13	0.14	5.05	7.45	40
#0000FF	0.14	0.15	5.05	7.45	40
#0000FF	0.15	0.16	5.05	7.45	40
#0000FF	0.16	0.17	5.05	7.45	40
#0000FF	0.17	0.18	5.05	7.45	40
#0000FF	0.18	0.19	5.05	7.45	40
#0000FF	0.19	0.2	5.05	7.45	40
#0000FF	0.2	0.21	5.05	7.45	40
#000000	0	0.01	0.05	2.45	41
#000000	0.01	0.02	0.05	2.45	41
#000000	0.02	0.03	0.05	2.45	41
#000000	0.03	0.04	0.05	2.45	41
#000000	0.04	0.05	0.05	2.45	41
#000000	0.05	0.06	0.05	2.45	41
#000000	0.06	0.07	0.05	2.45	41
#000000	0.07	0.08	0.05	2.45	41
#000000	0.08	0.09	0.05	2.45	41
#000000	0.09	0.1	0.05	2.45	41
#000000	0.1	0.11	0.05	2.45	41
#000000	0.11	0.12	0.05	2.45	41
#000000	0.12	0.13	0.05	2.45	41
#000000	0.13	0.14	0.05	2.45	41
#FF0000	0	0.01	2.55	4.95	41
#FF0000	0.01	0.02	2.55	4.95	41
#FF0000	0.02	0.03	2.55	4.95	41
#FF0000	0.03	0.04	2.55	4.95	41
#FF0000	0.04	0.05	2.55	4.95	41
#FF0000	0.05	0.06	2.55	4.95	41
#0000FF	0	0.01	5.05	7.45	41
#0000FF	0.01	0.02	5.05	7.45	41
#0000FF	0.02	0.03	5.05	7.45	41
#0000FF	0.03	0.04	5.05	7.45	41
#0000FF	0.04	0.05	5.05	7.45	41
#0000FF	0.05	0.06	5.05	7.45	41
#0000FF	0.06	0.07	5.05	7.45	41
#0000FF	0.07	0.08	5.05	7.45	41
#0000FF	0.08	0.09	5.05	7.45	41
#0000FF	0.09	0.1	5.05	7.45	41
#0000FF	0.1	0.11	5.05	7.45	41
#0000FF	0.11	0.12	5.05	7.45	41
#0000FF	0.12	0.13	5.05	7.45	41
#0000FF	0.13	0.14	5.05	7.45	41
#0000FF	0.14	0.15	5.05	7.45	41
#0000FF	0.15	0.16	5.05	7.45	41
#0000FF	0.16	0.17	5.05	7.45	41
#0000FF	0.17	0.18	5.05	7.45	41
#0000FF	0.18	0.19	5.05	7.45	41
#0000FF	0.19	0.2	5.05	7.45	41
#0000FF	0.2	0.21	5.05	7.45	41
#000000	0	0.01	0.05	2.45	42
#000000	0.01	0.02	0.05	2.45	42
#000000	0.02	0.03	0.05	2.45	42
#000000	0.03	0.04	0.05	2.45	42
#000000	0.04	0.05	0.05	2.45	42
#000000	0.05	0.06	0.05	2.45	42
#000000	0.06	0.07	0.05	2.45	42
#000000	0.07	0.08	0.05	2.45	42
#000000	0.08	0.09	0.05	2.45	42
#000000	0.09	0.1	0.05	2.45	42
#000000	0.1	0.11	0.05	2.45	42
#000000	0.11	0.12	0.05	2.45	42
#000000	0.12	0.13	0.05	2.45	42
#000000	0.13	0.14	0.05	2.45	42
#000000	0.14	0.15	0.05	2.45	42
#FF0000	0	0.01	2.55	4.95	42
#FF0000	0.01	0.02	2.55	4.95	42
#FF0000	0.02	0.03	2.55	4.95	42
#FF0000	0.03	0.04	2.55	4.95	42
#FF0000	0.04	0.05	2.55	4.95	42
#FF0000	0.05	0.06	2.55	4.95	42
#0000FF	0	0.01	5.05	7.45	42
#0000FF	0.01	0.02	5.05	7.45	42
#0000FF	0.02	0.03	5.05	7.45	42
#0000FF	0.03	0.04	5.05	7.45	42
#0000FF	0.04	0.05	5.05	7.45	42
#0000FF	0.05	0.06	5.05	7.45	42
#0000FF	0.06	0.07	5.05	7.45	42
#0000FF	0.07	0.08	5.05	7.45	42
#0000FF	0.08	0.09	5.05	7.45	42
#0000FF	0.09	0.1	5.05	7.45	42
#0000FF	0.1	0.11	5.05	7.45	42
#0000FF	0.11	0.12	5.05	7.45	42
#0000FF	0.12	0.13	5.05	7.45	42
#0000FF	0.13	0.14	5.05	7.45	42
#0000FF	0.14	0.15	5.05	7.45	42
#0000FF	0.15	0.16	5.05	7.45	42
#0000FF	0.16	0.17	5.05	7.45	42
#0000FF	0.17	0.18	5.05	7.45	42
#0000FF	0.18	0.19	5.05	7.45	42
#0000FF	0.19	0.2	5.05	7.45	42
#0000FF	0.2	0.21	5.05	7.45	42
#000000	0	0.01	0.05	2.45	43
#000000	0.01	0.02	0.05	2.45	43
#000000	0.02	0.03	0.05	2.45	43
#000000	0.03	0.04	0.05	2.45	43
#000000	0.04	0.05	0.05	2.45	43
#000000	0.05	0.06	0.05	2.45	43
#000000	0.06	0.07	0.05	2.45	43
#000000	0.07	0.08	0.05	2.45	43
#000000	0.08	0.09	0.05	2.45	43
#000000	0.09	0.1	0.05	2.45	43
#000000	0.1	0.11	0.05	2.45	43
#000000	0.11	0.12	0.05	2.45	43
#000000	0.12	0.13	0.05	2.45	43
#000000	0.13	0.14	0.05	2.45	43
#000000	0.14	0.15	0.05	2.45	43
#000000	0.15	0.16	0.05	2.45	43
#FF0000	0	0.01	2.55	4.95	43
#FF0000	0.01	0.02	2.55	4.95	43
#FF0000	0.02	0.03	2.55	4.95	43
#FF0000	0.03	0.04	2.55	4.95	43
#FF0000	0.04	0.05	2.55	4.95	43
#FF0000	0.05	0.06	2.55	4.95	43
#0000FF	0	0.01	5.05	7.45	43
#0000FF	0.01	0.02	5.05	7.45	43
#0000FF	0.02	0.03	5.05	7.45	43
#0000FF	0.03	0.04	5.05	7.45	43
#0000FF	0.04	0.05	5.05	7.45	43
#0000FF	0.05	0.06	5.05	7.45	43
#0000FF	0.06	0.07	5.05	7.45	43
#0000FF	0.07	0.08	5.05	7.45	43
#0000FF	0.08	0.09	5.05	7.45	43
#0000FF	0.09	0.1	5.05	7.45	43
#0000FF	0.1	0.11	5.05	7.45	43
#0000FF	0.11	0.12	5.05	7.45	43
#0000FF	0.12	0.13	5.05	7.45	43
#0000FF	0.13	0.14	5.05	7.45	43
#0000FF	0.14	0.15	5.05	7.45	43
#0000FF	0.15	0.16	5.05	7.45	43
#0000FF	0.16	0.17	5.05	7.45	43
#0000FF	0.17	0.18	5.05	7.45	43
#0000FF	0.18	0.19	5.05	7.45	43
#0000FF	0.19	0.2	5.05	7.45	43
#0000FF	0.2	0.21	5.05	7.45	43
#000000	0	0.01	0.05	2.45	44
#000000	0.01	0.02	0.05	2.45	44
#000000	0.02	0.03	0.05	2.45	44
#000000	0.03	0.04	0.05	2.45	44
#000000	0.04	0.05	0.05	2.45	44
#000000	0.05	0.06	0.05	2.45	44
#000000	0.06	0.07	0.05	2.45	44
#000000	0.07	0.08	0.05	2.45	44
#000000	0.08	0.09	0.05	2.45	44
#000000	0.09	0.1	0.05	2.45	44
#000000	0.1	0.11	0.05	2.45	44
#000000	0.11	0.12	0.05	2.45	44
#000000	0.12	0.13	0.05	2.45	44
#000000	0.13	0.14	0.05	2.45	44
#000000	0.14	0.15	0.05	2.45	44
#000000	0.15	0.16	0.05	2.45	44
#000000	0.16	0.17	0.05	2.45	44
#FF0000	0	0.01	2.55	4.95	44
#FF0000	0.01	0.02	2.55	4.95	44
#FF0000	0.02	0.03	2.55	4.95	44
#FF0000	0.03	0.04	2.55	4.95	44
#FF0000	0.04	0.05	2.55	4.95	44
#FF0000	0.05	0.06	2.55	4.95	44
#0000FF	0	0.01	5.05	7.45	44
#0000FF	0.01	0.02	5.05	7.45	44
#0000FF	0.02	0.03	5.05	7.45	44
#0000FF	0.03	0.04	5.05	7.45	44
#0000FF	0.04	0.05	5.05	7.45	44
#0000FF	0.05	0.06	5.05	7.45	44
#0000FF	0.06	0.07	5.05	7.45	44
#0000FF	0.07	0.08	5.05	7.45	44
#0000FF	0.08	0.09	5.05	7.45	44
#0000FF	0.09	0.1	5.05	7.45	44
#0000FF	0.1	0.11	5.05	7.45	44
#0000FF	0.11	0.12	5.05	7.45	44
#0000FF	0.12	0.13	5.05	7.45	44
#0000FF	0.13	0.14	5.05	7.45	44
#0000FF	0.14	0.15	5.05	7.45	44
#0000FF	0.15	0.16	5.05	7.45	44
#0000FF	0.16	0.17	5.05	7.45	44
#0000FF	0.17	0.18	5.05	7.45	44
#0000FF	0.18	0.19	5.05	7.45	44
#0000FF	0.19	0.2	5.05	7.45	44
#0000FF	0.2	0.21	5.05	7.45	44
#000000	0	0.01	0.05	2.45	45
#000000	0.01	0.02	0.05	2.45	45
#000000	0.02	0.03	0.05	2.45	45
#000000	0.03	0.04	0.05	2.45	45
#000000	0.04	0.05	0.05	2.45	45
#000000	0.05	0.06	0.05	2.45	45
#000000	0.06	0.07	0.05	2.45	45
#000000	0.07	0.08	0.05	2.45	45
#000000	0.08	0.09	0.05	2.45	45
#000000	0.09	0.1	0.05	2.45	45
#000000	0.1	0.11	0.05	2.45	45
#000000	0.11	0.12	0.05	2.45	45
#000000	0.12	0.13	0.05	2.45	45
#000000	0.13	0.14	0.05	2.45	45
#000000	0.14	0.15	0.05	2.45	45
#000000	0.15	0.16	0.05	2.45	45
#000000	0.16	0.17	0.05	2.45	45
#000000	0.17	0.18	0.05	2.45	45
#FF0000	0	0.01	2.55	4.95	45
#FF0000	0.01	0.02	2.55	4.95	45
#FF0000	0.02	0.03	2.55	4.95	45
#FF0000	0.03	0.04	2.55	4.95	45
#FF0000	0.04	0.05	2.55	4.95	45
#FF0000	0.05	0.06	2.55	4.95	45
#0000FF	0	0.01	5.05	7.45	45
#0000FF	0.01	0.02	5.05	7.45	45
#0000FF	0.02	0.03	5.05	7.45	45
#0000FF	0.03	0.04	5.05	7.45	45
#0000FF	0.04	0.05	5.05	7.45	45
#0000FF	0.05	0.06	5.05	7.45	45
#0000FF	0.06	0.07	5.05	7.45	45
#0000FF	0.07	0.08	5.05	7.45	45
#0000FF	0.08	0.09	5.05	7.45	45
#0000FF	0.09	0.1	5.05	7.45	45
#0000FF	0.1	0.11	5.05	7.45	45
#0000FF	0.11	0.12	5.05	7.45	45
#0000FF	0.12	0.13	5.05	7.45	45
#0000FF	0.13	0.14	5.05	7.45	45
#0000FF	0.14	0.15	5.05	7.45	45
#0000FF	0.15	0.16	5.05	7.45	45
#0000FF	0.16	0.17	5.05	7.45	45
#0000FF	0.17	0.18	5.05	7.45	45
#0000FF	0.18	0.19	5.05	7.45	45
#0000FF	0.19	0.2	5.05	7.45	45
#0000FF	0.2	0.21	5.05	7.45	45
#000000	0	0.01	0.05	2.45	46
#000000	0.01	0.02	0.05	2.45	46
#000000	0.02	0.03	0.05	2.45	46
#000000	0.03	0.04	0.05	2.45	46
#000000	0.04	0.05	0.05	2.45	46
#000000	0.05	0.06	0.05	2.45	46
#000000	0.06	0.07	0.05	2.45	46
#000000	0.07	0.08	0.05	2.45	46
#000000	0.08	0.09	0.05	2.45	46
#000000	0.09	0.1	0.05	2.45	46
#000000	0.1	0.11	0.05	2.45	46
#000000	0.11	0.12	0.05	2.45	46
#000000	0.12	0.13	0.05	2.45	46
#000000	0.13	0.14	0.05	2.45	46
#000000	0.14	0.15	0.05	2.45	46
#000000	0.15	0.16	0.05	2.45	46
#000000	0.16	0.17	0.05	2.45	46
#000000	0.17	0.18	0.05	2.45	46
#000000	0.18	0.19	0.05	2.45	46
#FF0000	0	0.01	2.55	4.95	46
#FF0000	0.01	0.02	2.55	4.95	46
#FF0000	0.02	0.03	2.55	4.95	46
#FF0000	0.03	0.04	2.55	4.95	46
#FF0000	0.04	0.05	2.55	4.95	46
#FF0000	0.05	0.06	2.55	4.95	46
#0000FF	0	0.01	5.05	7.45	46
#0000FF	0.01	0.02	5.05	7.45	46
#0000FF	0.02	0.03	5.05	7.45	46
#0000FF	0.03	0.04	5.05	7.45	46
#0000FF	0.04	0.05	5.05	7.45	46
#0000FF	0.05	0.06	5.05	7.45	46
#0000FF	0.06	0.07	5.05	7.45	46
#0000FF	0.07	0.08	5.05	7.45	46
#0000FF	0.08	0.09	5.05	7.45	46
#0000FF	0.09	0.1	5.05	7.45	46
#0000FF	0.1	0.11	5.05	7.45	46
#0000FF	0.11	0.12	5.05	7.45	46
#0000FF	0.12	0.13	5.05	7.45	46
#0000FF	0.13	0.14	5.05	7.45	46
#0000FF	0.14	0.15	5.05	7.45	46
#0000FF	0.15	0.16	5.05	7.45	46
#0000FF	0.16	0.17	5.05	7.45	46
#0000FF	0.17	0.18	5.05	7.45	46
#0000FF	0.18	0.19	5.05	7.45	46
#0000FF	0.19	0.2	5.05	7.45	46
#0000FF	0.2	0.21	5.05	7.45	46
#000000	0	0.01	0.05	2.45	47
#000000	0.01	0.02	0.05	2.45	47
#000000	0.02	0.03	0.05	2.45	47
#000000	0.03	0.04	0.05	2.45	47
#000000	0.04	0.05	0.05	2.45	47
#000000	0.05	0.06	0.05	2.45	47
#000000	0.06	0.07	0.05	2.45	47
#000000	0.07	0.08	0.05	2.45	47
#000000	0.08	0.09	0.05	2.45	47
#000000	0.09	0.1	0.05	2.45	47
#000000	0.1	0.11	0.05	2.45	47
#000000	0.11	0.12	0.05	2.45	47
#000000	0.12	0.13	0.05	2.45	47
#000000	0.13	0.14	0.05	2.45	47
#000000	0.14	0.15	0.05	2.45	47
#000000	0.15	0.16	0.05	2.45	47
#000000	0.16	0.17	0.05	2.45	47
#000000	0.17	0.18	0.05	2.45	47
#000000	0.18	0.19	0.05	2.45	47
#000000	0.19	0.2	0.05	2.45	47
#FF0000	0	0.01	2.55	4.95	47
#FF0000	0.01	0.02	2.55	4.95	47
#FF0000	0.02	0.03	2.55	4.95	47
#FF0000	0.03	0.04	2.55	4.95	47
#FF0000	0.04	0.05	2.55	4.95	47
#FF0000	0.05	0.06	2.55	4.95	47
#0000FF	0	0.01	5.05	7.45	47
#0000FF	0.01	0.02	5.05	7.45	47
#0000FF	0.02	0.03	5.05	7.45	47
#0000FF	0.03	0.04	5.05	7.45	47
#0000FF	0.04	0.05	5.05	7.45	47
#0000FF	0.05	0.06	5.05	7.45	47
#0000FF	0.06	0.07	5.05	7.45	47
#0000FF	0.07	0.08	5.05	7.45	47
#0000FF	0.08	0.09	5.05	7.45	47
#0000FF	0.09	0.1	5.05	7.45	47
#0000FF	0.1	0.11	5.05	7.45	47
#0000FF	0.11	0.12	5.05	7.45	47
#0000FF	0.12	0.13	5.05	7.45	47
#0000FF	0.13	0.14	5.05	7.45	47
#0000FF	0.14	0.15	5.05	7.45	47
#0000FF	0.15	0.16	5.05	7.45	47
#0000FF	0.16	0.17	5.05	7.45	47
#0000FF	0.17	0.18	5.05	7.45	47
#0000FF	0.18	0.19	5.05	7.45	47
#0000FF	0.19	0.2	5.05	7.45	47
#0000FF	0.2	0.21	5.05	7.45	47
#000000	0	0.01	0.05	2.45	48
#000000	0.01	0.02	0.05	2.45	48
#000000	0.02	0.03	0.05	2.45	48
#000000	0.03	0.04	0.05	2.45	48
#000000	0.04	0.05	0.05	2.45	48
#000000	0.05	0.06	0.05	2.45	48
#000000	0.06	0.07	0.05	2.45	48
#000000	0.07	0.08	0.05	2.45	48
#000000	0.08	0.09	0.05	2.45	48
#000000	0.09	0.1	0.05	2.45	48
#000000	0.1	0.11	0.05	2.45	48
#000000	0.11	0.12	0.05	2.45	48
#000000	0.12	0.13	0.05	2.45	48
#000000	0.13	0.14	0.05	2.45	48
#000000	0.14	0.15	0.05	2.45	48
#000000	0.15	0.16	0.05	2.45	48
#000000	0.16	0.17	0.05	2.45	48
#000000	0.17	0.18	0.05	2.45	48
#000000	0.18	0.19	0.05	2.45	48
#000000	0.19	0.2	0.05	2.45	48
#FF0000	0	0.01	2.55	4.95	48
#FF0000	0.01	0.02	2.55	4.95	48
#FF0000	0.02	0.03	2.55	4.95	48
#FF0000	0.03	0.04	2.55	4.95	48
#FF0000	0.04	0.05	2.55	4.95	48
#FF0000	0.05	0.06	2.55	4.95	48
#0000FF	0	0.01	5.05	7.45	48
#0000FF	0.01	0.02	5.05	7.45	48
#0000FF	0.02	0.03	5.05	7.45	48
#0000FF	0.03	0.04	5.05	7.45	48
#0000FF	0.04	0.05	5.05	7.45	48
#0000FF	0.05	0.06	5.05	7.45	48
#0000FF	0.06	0.07	5.05	7.45	48
#0000FF	0.07	0.08	5.05	7.45	48
#0000FF	0.08	0.09	5.05	7.45	48
#0000FF	0.09	0.1	5.05	7.45	48
#0000FF	0.1	0.11	5.05	7.45	48
#0000FF	0.11	0.12	5.05	7.45	48
#0000FF	0.12	0.13	5.05	7.45	48
#0000FF	0.13	0.14	5.05	7.45	48
#0000FF	0.14	0.15	5.05	7.45	48
#0000FF	0.15	0.16	5.05	7.45	48
#0000FF	0.16	0.17	5.05	7.45	48
#0000FF	0.17	0.18	5.05	7.45	48
#0000FF	0.18	0.19	5.05	7.45	48
#0000FF	0.19	0.2	5.05	7.45	48
#0000FF	0.2	0.21	5.05	7.45	48
#0000FF	0.21	0.22	5.05	7.45	48
#000000	0	0.01	0.05	2.45	49
#000000	0.01	0.02	0.05	2.45	49
#000000	0.02	0.03	0.05	2.45	49
#000000	0.03	0.04	0.05	2.45	49
#000000	0.04	0.05	0.05	2.45	49
#000000	0.05	0.06	0.05	2.45	49
#000000	0.06	0.07	0.05	2.45	49
#000000	0.07	0.08	0.05	2.45	49
#000000	0.08	0.09	0.05	2.45	49
#000000	0.09	0.1	0.05	2.45	49
#000000	0.1	0.11	0.05	2.45	49
#000000	0.11	0.12	0.05	2.45	49
#000000	0.12	0.13	0.05	2.45	49
#000000	0.13	0.14	0.05	2.45	49
#000000	0.14	0.15	0.05	2.45	49
#000000	0.15	0.16	0.05	2.45	49
#000000	0.16	0.17	0.05	2.45	49
#000000	0.17	0.18	0.05	2.45	49
#000000	0.18	0.19	0.05	2.45	49
#000000	0.19	0.2	0.05	2.45	49
#000000	0.2	0.21	0.05	2.45	49
#FF0000	0	0.01	2.55	4.95	49
#FF0000	0.01	0.02	2.55	4.95	49
#FF0000	0.02	0.03	2.55	4.95	49
#FF0000	0.03	0.04	2.55	4.95	49
#FF0000	0.04	0.05	2.55	4.95	49
#FF0000	0.05	0.06	2.55	4.95	49
#0000FF	0	0.01	5.05	7.45	49
#0000FF	0.01	0.02	5.05	7.45	49
#0000FF	0.02	0.03	5.05	7.45	49
#0000FF	0.03	0.04	5.05	7.45	49
#0000FF	0.04	0.05	5.05	7.45	49
